ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2010	01-MAY-10	EL DORADO	09	LANDSCAPE MAINTENANCE	ALLECTUS GC SC INSECTICIDE	.0664	BIFENTHRIN	.001328			
NO	2010	01-OCT-10	EL DORADO	09	LANDSCAPE MAINTENANCE	ALLECTUS GC SC INSECTICIDE	1.859	BIFENTHRIN	.03718			
NO	2010	01-AUG-10	EL DORADO	09	LANDSCAPE MAINTENANCE	ALLECTUS GC SC INSECTICIDE	.3984	BIFENTHRIN	.007968			
NO	2010	01-JUN-10	EL DORADO	09	LANDSCAPE MAINTENANCE	ALLECTUS GC SC INSECTICIDE	33.9931	BIFENTHRIN	.679862			
NO	2010	01-JAN-10	EL DORADO	09	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	3.875	BIFENTHRIN	.00775			
NO	2010	01-FEB-10	EL DORADO	09	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.5625	BIFENTHRIN	.001125			
NO	2010	01-APR-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	11.0743	BIFENTHRIN	.8748697			
NO	2010	01-JUL-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.2656	BIFENTHRIN	.0209824			
NO	2010	01-MAY-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	1.3942	BIFENTHRIN	.1101418			
NO	2010	01-MAR-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.5311	BIFENTHRIN	.0419569			
NO	2010	01-JUN-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	1.0955	BIFENTHRIN	.0865445			
NO	2010	01-OCT-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.5311	BIFENTHRIN	.0419569			
NO	2010	01-AUG-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.2656	BIFENTHRIN	.0209824			
NO	2010	01-APR-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	11.0743	BIFENTHRIN	.8748697			
NO	2010	01-DEC-10	EL DORADO	09	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.1328	BIFENTHRIN	.0104912			
