ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	.0313	BIFENTHRIN	.00005008			
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT GC SC	3.9952	BIFENTHRIN	.4914096			
NO	2012	01-OCT-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	1.982	BIFENTHRIN	.156578			
NO	2012	01-APR-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.6223	BIFENTHRIN	.2071617			
NO	2012	01-MAY-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.6699	BIFENTHRIN	.2109221			
NO	2012	01-JUL-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	1.3622	BIFENTHRIN	.1076138			
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.5269	BIFENTHRIN	.1996251			
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.2724	BIFENTHRIN	.0215196			
NO	2012	01-APR-12	PLACER	31	LANDSCAPE MAINTENANCE	HOME DEFENSE INDOOR & OUTDOOR INSECT KILLER 5	.13	BIFENTHRIN	.000065			
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS GC INSECTICIDE/MITICIDE	2.1321	BIFENTHRIN	.1684359			
NO	2012	01-JAN-12	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	8.4616	BIFENTHRIN	.6684664			
NO	2012	01-AUG-12	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.4991	BIFENTHRIN	.1184289			
NO	2012	01-JUN-12	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.2332	BIFENTHRIN	.0184228			
NO	2012	01-APR-12	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.3406	BIFENTHRIN	.0269074			
NO	2012	01-JUL-12	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	1.0898	BIFENTHRIN	.0860942			
NO	2012	01-MAR-12	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	335.6825	BIFENTHRIN	26.5189175			
NO	2012	01-MAR-12	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	1.0217	BIFENTHRIN	.0807143			
NO	2012	01-JUN-12	PLACER	31	LANDSCAPE MAINTENANCE	QUALI-PRO BIFENTHRIN NURSERY 7.9F	4.189	BIFENTHRIN	.330931			
NO	2012	01-JUL-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR CA GRANULAR INSECTICIDE	27	BIFENTHRIN	.054			
NO	2012	01-JUN-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR CA GRANULAR INSECTICIDE	72	BIFENTHRIN	.144			
NO	2012	01-FEB-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	183.3125	BIFENTHRIN	.366625			
NO	2012	01-MAR-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	149.1563	BIFENTHRIN	.2983126			
NO	2012	01-JAN-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	92.7813	BIFENTHRIN	.1855626			
NO	2012	01-MAY-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.5938	BIFENTHRIN	.0031876			
NO	2012	01-NOV-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2	BIFENTHRIN	.004			
NO	2012	01-OCT-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2.125	BIFENTHRIN	.00425			
NO	2012	01-MAR-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	6	BIFENTHRIN	.012			
