ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2011	01-JUN-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	6	BIFENTHRIN	.0096			
NO	2011	01-OCT-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	6	BIFENTHRIN	.0096			
NO	2011	01-MAY-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	6	BIFENTHRIN	.0096			
NO	2011	01-NOV-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	6	BIFENTHRIN	.0096			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	80	BIFENTHRIN	.1			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	120	BIFENTHRIN	.15			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	138	BIFENTHRIN	.1725			
NO	2011	01-APR-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	22	BIFENTHRIN	.0275			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	180	BIFENTHRIN	.225			
NO	2011	01-SEP-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	50	BIFENTHRIN	.0625			
NO	2011	01-JUN-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.1795	BIFENTHRIN	.1721805			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.5201	BIFENTHRIN	.1990879			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	5.5851	BIFENTHRIN	.4412229			
NO	2011	01-NOV-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.3325	BIFENTHRIN	.1052675			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	13.3894	BIFENTHRIN	1.0577626			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	7.4289	BIFENTHRIN	.5868831			
NO	2011	01-SEP-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.3998	BIFENTHRIN	.0315842			
NO	2011	01-APR-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.1992	BIFENTHRIN	.0157368			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR LAWN & TREE FLOWABLE INSECTICIDE/MITICIDE	.1999	BIFENTHRIN	.0157921			
NO	2011	01-MAR-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	24.4375	BIFENTHRIN	.048875			
NO	2011	01-FEB-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	18.1875	BIFENTHRIN	.036375			
NO	2011	01-SEP-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.6719	BIFENTHRIN	.0013438			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.9844	BIFENTHRIN	.0019688			
NO	2011	01-DEC-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	20.4063	BIFENTHRIN	.0408126			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.9063	BIFENTHRIN	.0018126			
NO	2011	01-OCT-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	12.1006	BIFENTHRIN	.0242012			
NO	2011	01-APR-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	10.2969	BIFENTHRIN	.0205938			
NO	2011	01-NOV-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	33.2656	BIFENTHRIN	.0665312			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	.332	BIFENTHRIN	.026228			
NO	2011	01-SEP-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	20.3958	BIFENTHRIN	1.6112682			
NO	2011	01-MAY-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	1.1951	BIFENTHRIN	.0944129			
NO	2011	01-NOV-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	5.1589	BIFENTHRIN	.4075531			
NO	2011	01-MAY-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	25.7947	BIFENTHRIN	2.0377813			
NO	2011	01-OCT-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	8.5982	BIFENTHRIN	.6792578			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	36.1125	BIFENTHRIN	2.8528875			
NO	2011	01-JUL-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	15.4768	BIFENTHRIN	1.2226672			
NO	2011	01-JUN-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	30.9536	BIFENTHRIN	2.4453344			
NO	2011	01-AUG-11	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	2.8655	BIFENTHRIN	.2263745			
NO	2011	01-JAN-11	SACRAMENTO	34	REGULATORY PEST CONTROL	PRESCRIPTION TREATMENT BRAND ATTAIN NURSERY-CA	.0155	BIFENTHRIN	.0012245			
NO	2011	01-SEP-11	SACRAMENTO	34	REGULATORY PEST CONTROL	PRESCRIPTION TREATMENT BRAND ATTAIN NURSERY-CA	.0155	BIFENTHRIN	.0012245			
NO	2011	01-JUN-11	SACRAMENTO	34	REGULATORY PEST CONTROL	TALSTAR F INSECTICIDE/MITICIDE	.1999	BIFENTHRIN	.0157921			
NO	2011	01-AUG-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	72.3612	BIFENTHRIN	5.7165348			
NO	2011	01-FEB-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	30.3363	BIFENTHRIN	2.3965677			
NO	2011	01-NOV-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	121.3451	BIFENTHRIN	9.5862629			
NO	2011	01-JUL-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.8377	BIFENTHRIN	.2241783			
NO	2011	01-MAY-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	69.5235	BIFENTHRIN	5.4923565			
NO	2011	01-MAR-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	36.7549	BIFENTHRIN	2.9036371			
NO	2011	01-OCT-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	99.9949	BIFENTHRIN	7.8995971			
NO	2011	01-SEP-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	18.5126	BIFENTHRIN	1.4624954			
NO	2011	01-JUL-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.0068	BIFENTHRIN	.0005372			
NO	2011	01-NOV-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	16.0127	BIFENTHRIN	1.2650033			
NO	2011	01-JUN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	82.0904	BIFENTHRIN	6.4851416			
NO	2011	01-OCT-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	20.2017	BIFENTHRIN	1.5959343			
NO	2011	01-AUG-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.2563	BIFENTHRIN	.7312477			
NO	2011	01-SEP-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	118.7912	BIFENTHRIN	9.3845048			
NO	2011	01-JAN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	35.0658	BIFENTHRIN	2.7701982			
NO	2011	01-APR-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	70.9423	BIFENTHRIN	5.6044417			
NO	2011	01-JAN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.4898	BIFENTHRIN	.0386942			
NO	2011	01-AUG-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6215	BIFENTHRIN	.1280985			
NO	2011	01-DEC-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	97.6301	BIFENTHRIN	7.7127779			
NO	2011	01-FEB-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.679	BIFENTHRIN	.053641			
NO	2011	01-JUL-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	76.9555	BIFENTHRIN	6.0794845			
NO	2011	01-MAY-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	412.65	BIFENTHRIN	.8253			
NO	2011	01-APR-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	32.5	BIFENTHRIN	.065			
NO	2011	01-JUL-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1.8438	BIFENTHRIN	.0036876			
NO	2011	01-SEP-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1073.5	BIFENTHRIN	2.147			
NO	2011	01-NOV-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	450.5	BIFENTHRIN	.901			
NO	2011	01-OCT-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1129.25	BIFENTHRIN	2.2585			
NO	2011	01-OCT-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1129.25	BIFENTHRIN	2.2585			
NO	2011	01-AUG-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	1116.83	BIFENTHRIN	2.23366			
NO	2011	01-JUL-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	980.18	BIFENTHRIN	1.96036			
NO	2011	01-JUN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN L/P INSECTICIDE GRANULES	729.29	BIFENTHRIN	1.45858			
NO	2011	01-DEC-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-DEC-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	155.3579	BIFENTHRIN	12.2732741			
NO	2011	01-NOV-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	.4087	BIFENTHRIN	.0322873			
NO	2011	01-AUG-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-OCT-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-MAY-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-JUN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-JAN-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-DEC-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	4.0866	BIFENTHRIN	.3228414			
NO	2011	01-SEP-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	43.5909	BIFENTHRIN	3.4436811			
NO	2011	01-MAR-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
NO	2011	01-FEB-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	34.8727	BIFENTHRIN	2.7549433			
NO	2011	01-APR-11	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BISECT L	52.3091	BIFENTHRIN	4.1324189			
