ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2014	01-APR-14	SUTTER	51	LANDSCAPE MAINTENANCE	TALSTAR LAWN & TREE FLOWABLE INSECTICIDE/MITICIDE	.6664	BIFENTHRIN	.0526456			
NO	2014	01-SEP-14	SUTTER	51	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	3	BIFENTHRIN	.006			
NO	2014	01-JUL-14	SUTTER	51	PUBLIC HEALTH PEST CONTROL	WISDOM TC FLOWABLE	21.9176	BIFENTHRIN	1.7314904			
NO	2014	01-AUG-14	SUTTER	51	PUBLIC HEALTH PEST CONTROL	WISDOM TC FLOWABLE	4.0594	BIFENTHRIN	.3206926			
NO	2014	01-OCT-14	SUTTER	51	RIGHTS OF WAY	MP400-EXT	10.6974	BIFENTHRIN	.00427896			
NO	2014	01-SEP-14	SUTTER	51	RIGHTS OF WAY	MP400-EXT	684.6327	BIFENTHRIN	.27385308			
NO	2014	01-AUG-14	SUTTER	51	RIGHTS OF WAY	MP400-EXT	1823.9043	BIFENTHRIN	.72956172			
NO	2014	01-JUL-14	SUTTER	51	RIGHTS OF WAY	MP400-EXT	21.3948	BIFENTHRIN	.00855792			
NO	2014	01-AUG-14	SUTTER	51	RIGHTS OF WAY	WISDOM TC FLOWABLE	.533	BIFENTHRIN	.042107			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	6.7456	BIFENTHRIN	.5329024			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	37.7062	BIFENTHRIN	2.9787898			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2919	BIFENTHRIN	.0230601			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.5405	BIFENTHRIN	.0426995			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6142	BIFENTHRIN	.0485218			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.5405	BIFENTHRIN	.0426995			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	7.7787	BIFENTHRIN	.6145173			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.2805	BIFENTHRIN	.9701595			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1845	BIFENTHRIN	.0145755			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.7533	BIFENTHRIN	.0595107			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.4534	BIFENTHRIN	.9838186			
NO	2014	01-OCT-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.3993	BIFENTHRIN	.0315447			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	5.5403	BIFENTHRIN	.4376837			
NO	2014	01-OCT-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.1887	BIFENTHRIN	.7259073			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.5941	BIFENTHRIN	.7579339			
NO	2014	01-JUN-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.7848	BIFENTHRIN	.0619992			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.8723	BIFENTHRIN	.0689117			
NO	2014	01-OCT-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.9345	BIFENTHRIN	.9428255			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.5405	BIFENTHRIN	.0426995			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2067	BIFENTHRIN	.0163293			
NO	2014	01-JUN-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	48.7759	BIFENTHRIN	3.8532961			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.8621	BIFENTHRIN	.0681059			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	445.3826	BIFENTHRIN	35.1852254			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1831	BIFENTHRIN	.0144649			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.3182	BIFENTHRIN	1.0521378			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1763	BIFENTHRIN	.0139277			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	42.8951	BIFENTHRIN	3.3887129			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	35.4576	BIFENTHRIN	2.8011504			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.0536	BIFENTHRIN	.7152344			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.9345	BIFENTHRIN	.9428255			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1993	BIFENTHRIN	.0157447			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.4534	BIFENTHRIN	.9838186			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.5405	BIFENTHRIN	.0426995			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	40.6466	BIFENTHRIN	3.2110814			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	10	BIFENTHRIN	.02			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	5	BIFENTHRIN	.01			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	5.5	BIFENTHRIN	.011			
NO	2014	01-DEC-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	16.5	BIFENTHRIN	.033			
NO	2014	01-JUN-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1333	BIFENTHRIN	.0105307			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.8528	BIFENTHRIN	.0673712			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.4664	BIFENTHRIN	.0368456			
NO	2014	01-JUN-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.066	BIFENTHRIN	.084214			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1333	BIFENTHRIN	.0105307			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.2665	BIFENTHRIN	.0210535			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.9594	BIFENTHRIN	.0757926			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.7995	BIFENTHRIN	.0631605			
NO	2014	01-OCT-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.0394	BIFENTHRIN	.0821126			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.2665	BIFENTHRIN	.0210535			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.4397	BIFENTHRIN	.0347363			
NO	2014	01-JUN-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.0666	BIFENTHRIN	.0052614			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.3998	BIFENTHRIN	.0315842			
NO	2014	01-OCT-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.0666	BIFENTHRIN	.0052614			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.5996	BIFENTHRIN	.0473684			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.7995	BIFENTHRIN	.0631605			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1999	BIFENTHRIN	.0157921			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.0666	BIFENTHRIN	.0052614			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.066	BIFENTHRIN	.084214			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.7329	BIFENTHRIN	.0578991			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.6663	BIFENTHRIN	.0526377			
NO	2014	01-JUL-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.3998	BIFENTHRIN	.0315842			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.533	BIFENTHRIN	.042107			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.4258	BIFENTHRIN	.1126382			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.9328	BIFENTHRIN	.0736912			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	10.3528	BIFENTHRIN	.8178712			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	16.7484	BIFENTHRIN	1.3231236			
NO	2014	01-JAN-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	54.2162	BIFENTHRIN	4.2830798			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	8.8544	BIFENTHRIN	.6994976			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.0681	BIFENTHRIN	.0053799			
NO	2014	01-AUG-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.4768	BIFENTHRIN	.0376672			
NO	2014	01-NOV-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	40.5804	BIFENTHRIN	3.2058516			
NO	2014	01-SEP-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	74.1045	BIFENTHRIN	5.8542555			
NO	2014	01-FEB-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	4.4613	BIFENTHRIN	.3524427			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	25.1996	BIFENTHRIN	1.9907684			
NO	2014	01-MAR-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	1.9752	BIFENTHRIN	.1560408			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.2472	BIFENTHRIN	.0195288			
NO	2014	01-APR-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	7.813	BIFENTHRIN	.617227			
NO	2014	01-MAY-14	SUTTER	51	STRUCTURAL PEST CONTROL	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	6.2662	BIFENTHRIN	.4950298			
