ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	10	BIFENTHRIN	.0125			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	7	BIFENTHRIN	.00875			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	50	BIFENTHRIN	.0625			
NO	2011	01-APR-11	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	10	BIFENTHRIN	.0125			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	5	BIFENTHRIN	.00625			
NO	2011	01-OCT-11	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.6811	BIFENTHRIN	.0538069			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	HOME DEFENSE INDOOR & OUTDOOR INSECT KILLER 5	.13	BIFENTHRIN	.000065			
NO	2011	01-APR-11	PLACER	31	LANDSCAPE MAINTENANCE	HOME DEFENSE INDOOR & OUTDOOR INSECT KILLER 5	.3901	BIFENTHRIN	.00019505			
NO	2011	01-JUN-11	PLACER	31	LANDSCAPE MAINTENANCE	HOME DEFENSE INDOOR & OUTDOOR INSECT KILLER 5	.3901	BIFENTHRIN	.00019505			
NO	2011	01-MAR-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.5	BIFENTHRIN	.001			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK EZ GRANULAR INSECTICIDE	.25	BIFENTHRIN	.0005			
NO	2011	01-JUN-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS GC INSECTICIDE/MITICIDE	3.7311	BIFENTHRIN	.2947569			
NO	2011	01-SEP-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS GC INSECTICIDE/MITICIDE	1.9988	BIFENTHRIN	.1579052			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.533	BIFENTHRIN	.042107			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	2.1987	BIFENTHRIN	.1736973			
NO	2011	01-DEC-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	11.1933	BIFENTHRIN	.8842707			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	7.9952	BIFENTHRIN	.6316208			
NO	2011	01-APR-11	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	425.5656	BIFENTHRIN	33.6196824			
NO	2011	01-MAR-11	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	2.3055	BIFENTHRIN	.1821345			
NO	2011	01-MAY-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	32.4688	BIFENTHRIN	.0649376			
NO	2011	01-DEC-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	25.2813	BIFENTHRIN	.0505626			
NO	2011	01-SEP-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	3.125	BIFENTHRIN	.00625			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	11.2938	BIFENTHRIN	.0225876			
NO	2011	01-MAR-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	139.375	BIFENTHRIN	.27875			
NO	2011	01-JUN-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	23.5	BIFENTHRIN	.047			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	315	BIFENTHRIN	.63			
NO	2011	01-FEB-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	143.5	BIFENTHRIN	.287			
NO	2011	01-MAR-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	43.3125	BIFENTHRIN	.086625			
NO	2011	01-NOV-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	46.75	BIFENTHRIN	.0935			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	4.2188	BIFENTHRIN	.0084376			
NO	2011	01-JUN-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	10.3179	BIFENTHRIN	.8151141			
NO	2011	01-OCT-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	1.0748	BIFENTHRIN	.0849092			
NO	2011	01-JUL-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	5.1589	BIFENTHRIN	.4075531			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	12.0375	BIFENTHRIN	.9509625			
NO	2011	01-SEP-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	6.8786	BIFENTHRIN	.5434094			
NO	2011	01-NOV-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	1.6793	BIFENTHRIN	.1326647			
NO	2011	01-AUG-11	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	1.9992	BIFENTHRIN	.1579368			
NO	2011	01-OCT-11	PLACER	31	RIGHTS OF WAY	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.1362	BIFENTHRIN	.0107598			
NO	2011	01-NOV-11	PLACER	31	RIGHTS OF WAY	MP400-EXT	796.9553	BIFENTHRIN	.31878212			
NO	2011	01-SEP-11	PLACER	31	RIGHTS OF WAY	MP400-EXT	160.4608	BIFENTHRIN	.06418432			
