YEAR,DATE,COUNTY_NAME,COMTRS,SITE_NAME,PRODUCT_NAME,POUNDS_PRODUCT_APPLIED,CHEMICAL_NAME,POUNDS_CHEMICAL_APPLIED
2010,1/20/2010,PLACER,31,STRUCTURAL PEST CONTROL,SPECKOZ BIFENTHRIN TERMITICIDE/INSECTICIDE,1.9918,BIFENTHRIN,0.1573522
2010,1/20/2010,PLACER,31,STRUCTURAL PEST CONTROL,TALSTAR PL GRANULAR INSECTICIDE,11,BIFENTHRIN,0.022
2010,1/21/2010,PLACER,31,STRUCTURAL PEST CONTROL,TALSTAR TERMITICIDE/INSECTICIDE,0.3332,BIFENTHRIN,0.0263228
2010,1/30/2010,PLACER,31,LANDSCAPE MAINTENANCE,LESCO CROSSCHECK EZ GRANULAR INSECTICIDE,88.9375,BIFENTHRIN,0.177875
2010,1/30/2010,PLACER,31,LANDSCAPE MAINTENANCE,LESCO CROSSCHECK PLUS MULTI-INSECTICIDE,0.0666,BIFENTHRIN,0.0052614
2010,1/30/2010,PLACER,31,LANDSCAPE MAINTENANCE,TALSTAR PL GRANULAR INSECTICIDE,25,BIFENTHRIN,0.05
2010,1/30/2010,PLACER,31,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,0.8108,BIFENTHRIN,0.0640532
2010,1/30/2010,PLACER,31,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,0.0359,BIFENTHRIN,0.0028361
2010,1/30/2010,PLACER,31,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,2.4323,BIFENTHRIN,0.1921517
2010,1/30/2010,PLACER,31,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,2.7127,BIFENTHRIN,0.2143033
2010,1/30/2010,PLACER,31,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,7.5672,BIFENTHRIN,0.5978088
