YEAR,DATE,COUNTY_NAME,COMTRS,SITE_NAME,PRODUCT_NAME,POUNDS_PRODUCT_APPLIED,CHEMICAL_NAME,POUNDS_CHEMICAL_APPLIED
2014,1/1/2014,SACRAMENTO,34,LANDSCAPE MAINTENANCE,BISECT L,1.2941,BIFENTHRIN,0.1022339
2014,1/1/2014,SACRAMENTO,34,LANDSCAPE MAINTENANCE,TALSTAR PL GRANULAR INSECTICIDE,1.3125,BIFENTHRIN,0.002625
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,3.3782,BIFENTHRIN,0.2668778
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,4.3241,BIFENTHRIN,0.3416039
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,4.0944,BIFENTHRIN,0.3234576
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BIFEN I/T INSECTICIDE/TERMITICIDE,131.8176,BIFENTHRIN,10.4135904
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BIFEN L/P INSECTICIDE GRANULES,891.4,BIFENTHRIN,1.7828
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BISECT L,34.8727,BIFENTHRIN,2.7549433
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,BISECT L,74.4791,BIFENTHRIN,5.8838489
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,LESCO CROSSCHECK EZ GRANULAR INSECTICIDE,12,BIFENTHRIN,0.024
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,LESCO CROSSCHECK EZ GRANULAR INSECTICIDE,3,BIFENTHRIN,0.006
2014,1/1/2014,SACRAMENTO,34,STRUCTURAL PEST CONTROL,LESCO CROSSCHECK EZ GRANULAR INSECTICIDE,7,BIFENTHRIN,0.014
