"month","year","bifenthrin_kgha","bif_kgha_with_home"
1,2009,0.00111706304583735,0.00139632880729669
2,2009,0.000632524522228934,0.000790655652786167
3,2009,0.00533980795351747,0.00667475994189684
4,2009,0.00324253626450446,0.00405317033063058
5,2009,0.00190118587257287,0.00237648234071609
6,2009,0.00394482573679615,0.00493103217099519
7,2009,0.00338510403547126,0.00423138004433907
8,2009,0.00592081173940708,0.00740101467425885
9,2009,0.00333234389846951,0.00416542987308689
10,2009,0.00316923259742131,0.00396154074677664
11,2009,0.00263192750140084,0.00328990937675105
12,2009,0.00244910109971946,0.00306137637464933
1,2010,0.00183086957687837,0.00228858697109796
2,2010,0.00246806110729184,0.0030850763841148
3,2010,0.0019457590572403,0.00243219882155038
4,2010,0.0017638765960736,0.002204845745092
5,2010,0.00331550453834057,0.00414438067292571
6,2010,0.00434190740361671,0.00542738425452089
7,2010,0.000766916055313665,0.000958645069142081
8,2010,0.00248191368763875,0.00310239210954844
9,2010,0.00299925549668943,0.00374906937086179
10,2010,0.00302601135087067,0.00378251418858834
11,2010,0.00637457992238564,0.00796822490298205
12,2010,0.00641925118115581,0.00802406397644476
1,2011,0.00719636405951897,0.00899545507439871
2,2011,0.00789852094690359,0.00987315118362949
3,2011,0.00698980946319183,0.00873726182898979
4,2011,0.00918755253439074,0.0114844406679884
5,2011,0.00875949447040289,0.0109493680880036
6,2011,0.0122671785289073,0.0153339731611341
7,2011,0.0110312323386128,0.013789040423266
8,2011,0.0124080755401015,0.0155100944251269
9,2011,0.0102003386499566,0.0127504233124458
10,2011,0.00917127473426254,0.0114640934178282
11,2011,0.00713907285631845,0.00892384107039806
12,2011,0.00959071741703864,0.0119883967712983
1,2012,0.00223414931271057,0.00279268664088821
2,2012,0.0051798242170852,0.0064747802713565
3,2012,0.00603377601865083,0.00754222002331354
4,2012,0.00467162432968046,0.00583953041210057
5,2012,0.00473782544554756,0.00592228180693445
6,2012,0.00366331039171449,0.00457913798964311
7,2012,0.00362063120264444,0.00452578900330555
8,2012,0.0153338497277856,0.019167312159732
9,2012,0.0135657461207349,0.0169571826509186
10,2012,0.0137547503170543,0.0171934378963179
11,2012,0.0109860896244506,0.0137326120305632
12,2012,0.00244786529204509,0.00305983161505636
1,2013,0.00236806554493698,0.00296008193117123
2,2013,0.00418258957309789,0.00522823696637236
3,2013,0.00232739968205306,0.00290924960256632
4,2013,0.00209425826252031,0.00261782282815039
5,2013,0.00797402826067945,0.00996753532584931
6,2013,0.0080720544698777,0.0100900680873471
7,2013,0.00980473648266311,0.0122559206033289
8,2013,0.00837666050345528,0.0104708256293191
9,2013,0.00234007836712266,0.00292509795890333
10,2013,0.00182277395441477,0.00227846744301846
11,2013,0.00449194319607323,0.00561492899509154
12,2013,0.00172644017736798,0.00215805022170997
1,2014,0.00184908189554623,0.00231135236943279
2,2014,0.00126705020499883,0.00158381275624854
3,2014,0.00196751777527502,0.00245939721909378
4,2014,0.00162860000253341,0.00203575000316676
5,2014,0.00239090964726992,0.0029886370590874
6,2014,0.00201389024051148,0.00251736280063935
7,2014,0.00212418507935566,0.00265523134919457
8,2014,0.00283931889497322,0.00354914861871653
9,2014,0.000699209614366392,0.00087401201795799
10,2014,0.00174529455589057,0.00218161819486321
11,2014,0.000828778038054074,0.00103597254756759
12,2014,0.000706358584262805,0.000882948230328506
