ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT GC SC	5.8475	BIFENTHRIN	.7192425
NO	2014	01-JUN-14	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT GC SC	3.9952	BIFENTHRIN	.4914096
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC G	1	BIFENTHRIN	.00125
NO	2014	01-APR-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.9424	BIFENTHRIN	.2324496
NO	2014	01-MAY-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.5517	BIFENTHRIN	.0435843
NO	2014	01-SEP-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.2043	BIFENTHRIN	.0161397
NO	2014	01-JUL-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.5201	BIFENTHRIN	.1990879
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.4087	BIFENTHRIN	.0322873
NO	2014	01-OCT-14	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	5.7213	BIFENTHRIN	.4519827
NO	2014	01-SEP-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS GC INSECTICIDE/MITICIDE	1.4658	BIFENTHRIN	.1157982
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	2.1321	BIFENTHRIN	.1684359
NO	2014	01-JAN-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1333	BIFENTHRIN	.0105307
NO	2014	01-MAY-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.3998	BIFENTHRIN	.0315842
NO	2014	01-JUN-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.5324	BIFENTHRIN	.1210596
NO	2014	01-JUL-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.533	BIFENTHRIN	.042107
NO	2014	01-NOV-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.3325	BIFENTHRIN	.1052675
NO	2014	01-MAR-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	2.3986	BIFENTHRIN	.1894894
NO	2014	01-DEC-14	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.0333	BIFENTHRIN	.0026307
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.5449	BIFENTHRIN	.0430471
NO	2014	01-MAR-14	PLACER	31	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.5311	BIFENTHRIN	.0419569
NO	2014	01-OCT-14	PLACER	31	LANDSCAPE MAINTENANCE	MAXXTHOR SC	.332	BIFENTHRIN	.026228
NO	2014	01-MAY-14	PLACER	31	LANDSCAPE MAINTENANCE	QUALI-PRO BIFENTHRIN NURSERY 7.9F	4.3241	BIFENTHRIN	.3416039
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR P PROFESSIONAL INSECTICIDE	2.1246	BIFENTHRIN	.1678434
NO	2014	01-APR-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2.875	BIFENTHRIN	.00575
NO	2014	01-JUN-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.375	BIFENTHRIN	.00275
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.5625	BIFENTHRIN	.003125
NO	2014	01-JAN-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.75	BIFENTHRIN	.0035
NO	2014	01-JUL-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.375	BIFENTHRIN	.00275
NO	2014	01-MAY-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	9.125	BIFENTHRIN	.01825
NO	2014	01-MAR-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	3.8125	BIFENTHRIN	.007625
NO	2014	01-SEP-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2.0625	BIFENTHRIN	.004125
NO	2014	01-JUL-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	10.8338	BIFENTHRIN	.8558702
NO	2014	01-JUN-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	13.2413	BIFENTHRIN	1.0460627
NO	2014	01-MAY-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	1.7196	BIFENTHRIN	.1358484
NO	2014	01-SEP-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	2.5795	BIFENTHRIN	.2037805
NO	2014	01-APR-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	1.7196	BIFENTHRIN	.1358484
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	51.5894	BIFENTHRIN	4.0755626
NO	2014	01-OCT-14	PLACER	31	LANDSCAPE MAINTENANCE	UP-STAR GOLD INSECTICIDE	.2692	BIFENTHRIN	.0212668
NO	2014	01-AUG-14	PLACER	31	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	2.25	BIFENTHRIN	.0045
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.0676	BIFENTHRIN	.0053404
NO	2014	01-FEB-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6215	BIFENTHRIN	.1280985
NO	2014	01-APR-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.8369	BIFENTHRIN	1.4091151
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.1079	BIFENTHRIN	.2455241
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	14.256	BIFENTHRIN	1.126224
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.689	BIFENTHRIN	.291431
NO	2014	01-OCT-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.2964	BIFENTHRIN	1.3664156
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.8108	BIFENTHRIN	.0640532
NO	2014	01-APR-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.8108	BIFENTHRIN	.0640532
NO	2014	01-JUL-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.0536	BIFENTHRIN	.7152344
NO	2014	01-MAY-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.5941	BIFENTHRIN	.7579339
NO	2014	01-AUG-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724
NO	2014	01-OCT-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2703	BIFENTHRIN	.0213537
NO	2014	01-AUG-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	20.8097	BIFENTHRIN	1.6439663
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.9047	BIFENTHRIN	1.0194713
NO	2014	01-MAR-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	7.5672	BIFENTHRIN	.5978088
NO	2014	01-MAY-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1757	BIFENTHRIN	.0138803
NO	2014	01-FEB-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	10.2697	BIFENTHRIN	.8113063
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.081	BIFENTHRIN	.085399
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1824	BIFENTHRIN	.0144096
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724
NO	2014	01-JUL-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1892	BIFENTHRIN	.0149468
NO	2014	01-SEP-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	739.4216	BIFENTHRIN	58.4143064
NO	2014	01-OCT-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2737.1572	BIFENTHRIN	216.2354188
NO	2014	01-SEP-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.804	BIFENTHRIN	.063516
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.3378	BIFENTHRIN	.1056862
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.081	BIFENTHRIN	.085399
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.3696	BIFENTHRIN	.0291984
NO	2014	01-JAN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	4.3241	BIFENTHRIN	.3416039
NO	2014	01-MAR-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1027	BIFENTHRIN	.0081133
NO	2014	01-MAR-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059
NO	2014	01-AUG-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3269.0219	BIFENTHRIN	258.2527301
NO	2014	01-SEP-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	609.6985	BIFENTHRIN	48.1661815
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1216	BIFENTHRIN	.0096064
NO	2014	01-DEC-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.2964	BIFENTHRIN	1.3664156
NO	2014	01-FEB-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.0432	BIFENTHRIN	.0034128
NO	2014	01-JAN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.2967	BIFENTHRIN	.9714393
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.2972	BIFENTHRIN	.1814788
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	8.3779	BIFENTHRIN	.6618541
NO	2014	01-SEP-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	9.1887	BIFENTHRIN	.7259073
NO	2014	01-OCT-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.554	BIFENTHRIN	.122766
NO	2014	01-JUL-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6419	BIFENTHRIN	.0507101
NO	2014	01-FEB-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724
NO	2014	01-JUN-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059
NO	2014	01-NOV-14	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6351	BIFENTHRIN	.1291729
