ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2010	31-MAY-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	11	BIFENTHRIN	.0176			
NO	2010	31-OCT-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	3	BIFENTHRIN	.0048			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	40	BIFENTHRIN	.05			
NO	2010	30-SEP-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	4	BIFENTHRIN	.005			
NO	2010	31-MAY-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	120	BIFENTHRIN	.15			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	45	BIFENTHRIN	.05625			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT LC G	330	BIFENTHRIN	.4125			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BIFEN I/T INSECTICIDE/TERMITICIDE	.7128	BIFENTHRIN	.0563112			
NO	2010	01-FEB-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BIFEN I/T INSECTICIDE/TERMITICIDE	.1689	BIFENTHRIN	.0133431			
NO	2010	01-FEB-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PL GRANULAR INSECTICIDE	3.5	BIFENTHRIN	.007			
NO	2010	01-MAR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PL GRANULAR INSECTICIDE	.875	BIFENTHRIN	.00175			
NO	2010	30-APR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PL GRANULAR INSECTICIDE	.375	BIFENTHRIN	.00075			
NO	2010	01-JAN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PL GRANULAR INSECTICIDE	10	BIFENTHRIN	.02			
NO	2010	01-FEB-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PL GRANULAR INSECTICIDE	155	BIFENTHRIN	.31			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1832	BIFENTHRIN	.0144728			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.6663	BIFENTHRIN	.0526377			
NO	2010	30-NOV-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.6663	BIFENTHRIN	.0526377			
NO	2010	31-JUL-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	3.5645	BIFENTHRIN	.2815955			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	4.2974	BIFENTHRIN	.3394946			
NO	2010	30-NOV-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.5291	BIFENTHRIN	.1207989			
NO	2010	31-DEC-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR GC GRANULAR INSECTICIDE	200	BIFENTHRIN	.4			
NO	2010	30-APR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	23.5625	BIFENTHRIN	.047125			
NO	2010	01-FEB-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	25.1875	BIFENTHRIN	.050375			
NO	2010	01-JAN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	28.3125	BIFENTHRIN	.056625			
NO	2010	31-DEC-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	26.5	BIFENTHRIN	.053			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.25	BIFENTHRIN	.0025			
NO	2010	01-MAR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	32.9375	BIFENTHRIN	.065875			
NO	2010	30-SEP-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.625	BIFENTHRIN	.00325			
NO	2010	31-JUL-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.9375	BIFENTHRIN	.001875			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	4.0625	BIFENTHRIN	.008125			
NO	2010	31-MAY-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	8.25	BIFENTHRIN	.0165			
NO	2010	30-NOV-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	8.8125	BIFENTHRIN	.017625			
NO	2010	31-OCT-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	4.6875	BIFENTHRIN	.009375			
