ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	15	BIFENTHRIN	.024
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	.0625	BIFENTHRIN	.0001
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ALOFT GC SC	4.649	BIFENTHRIN	.571827
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	1.6006	BIFENTHRIN	.1264474
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.0433	BIFENTHRIN	.1614207
NO	2014	01-OCT-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	.2043	BIFENTHRIN	.0161397
NO	2014	01-OCT-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	11.4767	BIFENTHRIN	.9066593
NO	2014	01-FEB-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	.8854	BIFENTHRIN	.0699466
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.3158	BIFENTHRIN	.1829482
NO	2014	01-JAN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	1.2941	BIFENTHRIN	.1022339
NO	2014	01-MAR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	.3406	BIFENTHRIN	.0269074
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.7244	BIFENTHRIN	.2152276
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	5.517	BIFENTHRIN	.435843
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	4.904	BIFENTHRIN	.387416
NO	2014	01-APR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	10.816	BIFENTHRIN	.854464
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	2.1795	BIFENTHRIN	.1721805
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	BISECT L	4.3931	BIFENTHRIN	.3470549
NO	2014	01-OCT-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS GC INSECTICIDE/MITICIDE	4.997	BIFENTHRIN	.394763
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	3.3313	BIFENTHRIN	.2631727
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.0666	BIFENTHRIN	.0052614
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	9.2612	BIFENTHRIN	.7316348
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	5.9964	BIFENTHRIN	.4737156
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	127.9238	BIFENTHRIN	10.1059802
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	4.2641	BIFENTHRIN	.3368639
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	2.4652	BIFENTHRIN	.1947508
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	3.9976	BIFENTHRIN	.3158104
NO	2014	01-OCT-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	7.1957	BIFENTHRIN	.5684603
NO	2014	01-MAR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	ONYX INSECTICIDE	4.2491	BIFENTHRIN	.9942894
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.7813	BIFENTHRIN	.0015626
NO	2014	01-MAR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	3	BIFENTHRIN	.006
NO	2014	01-FEB-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.25	BIFENTHRIN	.0005
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.1313	BIFENTHRIN	.0002626
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2.6875	BIFENTHRIN	.005375
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.875	BIFENTHRIN	.00175
NO	2014	01-APR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	.875	BIFENTHRIN	.00175
NO	2014	01-JAN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.3125	BIFENTHRIN	.002625
NO	2014	01-MAY-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	5.8441	BIFENTHRIN	.4616839
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	16.7665	BIFENTHRIN	1.3245535
NO	2014	01-JUN-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	40.4117	BIFENTHRIN	3.1925243
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	35.0808	BIFENTHRIN	2.7713832
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	24.075	BIFENTHRIN	1.901925
NO	2014	01-APR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	4.2319	BIFENTHRIN	.3343201
NO	2014	01-APR-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	5.8441	BIFENTHRIN	.4616839
NO	2014	01-DEC-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	4.375	BIFENTHRIN	.00875
NO	2014	01-JUL-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	43.0313	BIFENTHRIN	.0860626
NO	2014	01-SEP-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	8.375	BIFENTHRIN	.01675
NO	2014	01-OCT-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	29.5156	BIFENTHRIN	.0590312
NO	2014	01-AUG-14	SACRAMENTO	34	LANDSCAPE MAINTENANCE	VERDICON BISECT CG	18.5313	BIFENTHRIN	.0370626
NO	2014	01-JAN-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.3782	BIFENTHRIN	.2668778
NO	2014	01-FEB-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.3782	BIFENTHRIN	.2668778
NO	2014	01-FEB-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	8.6482	BIFENTHRIN	.6832078
NO	2014	01-APR-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	4.966	BIFENTHRIN	.392314
NO	2014	01-FEB-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	95.6708	BIFENTHRIN	7.5579932
NO	2014	01-FEB-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2973	BIFENTHRIN	.0234867
NO	2014	01-JUL-14	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	3.7295	BIFENTHRIN	.2946305
