"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","depth","COVMAX","HTMAX","holdup","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"1",0.604,34.503,0.517,0.867,0.237,3.368,1258.991,63.368,0.125,0.447,96.419,0.999,768.982,0.148,1.481,0.356,0.076,2.544,0.554,2.437,0.813,0.025,0.025,974.186,27.096,11.344,60.625,28.526,16.155,16.686,18.778,52.626,0.027,0.297,1.517,0.676,30.384,2.091,69.55,1.239,0.694,11.882,8.872,0.001,2.4636,12.975,9.3968,1.1692,974,1138.8008
"2",0.678,34.099,0.271,4.159,0.181,3.419,3111.264,74.259,0.948,0.268,113.063,0.099,531.107,0.112,1.082,0.43,0.128,0.833,4.856,0.368,0.467,0.031,0.031,730.356,30.836,33.856,9.555,9.588,15.968,9.856,28.34,22.97,0.966,0.758,1.182,0.488,24.954,4.692,72.213,1.178,0.143,14.205,5.732,0.001,3.6403,0.91062,0.70947,0.0021305,731,1.5573955
"3",0.763,18.178,0.574,0.243,0.12,4.632,648.22,66.975,0.048,0.064,33.052,0.991,560.717,0.284,0.874,0.333,0.135,0.034,4.033,0.9,0.205,0.088,0.088,963.623,20.057,32.579,23.367,12.114,5.98,15.666,28.975,11.429,0.47,0.118,1.092,0.101,13.046,0.322,62.716,0.764,0.145,8.996,7.924,0.001,2.4162,0.14267,0.11158,0.00059652,964,0.57504528
"4",0.623,11.435,0.581,3.008,0.277,0.501,3447.075,82.513,0.068,0.205,132.615,0.432,521.935,0.242,0.886,0.298,0.237,2.309,0.267,2.881,0.804,0.075,0.075,720.13,19.315,32.413,99.587,18.365,18.685,43.401,45.311,88.147,0.791,0.485,1.594,0.323,40.012,1.218,37.851,0.225,0.057,10.42,8.404,0,4.106,29.146,20.561,0.15939,720,114.7608
"5",0.798,14.234,0.368,0.769,0.427,3.984,4116.848,89.755,0.362,0.241,101.027,0.091,720.269,0.293,0.993,0.395,0.117,3.456,1.206,2.895,0.447,0.057,0.057,715.372,26.356,20.153,34.684,15.211,7.336,23.316,36.418,59.42,0.227,0.57,1.276,0.541,3.283,4.534,50.905,1.474,0.2,1.226,8.188,0,6.0526,22.915,16.043,0.52318,716,374.59688
"6",0.652,23.203,0.312,3.365,0.958,2.606,405.447,66.642,0.644,0.439,97.896,0.142,573.603,0.231,1.557,0.393,0.104,1.457,5.569,1.53,0.927,0.033,0.033,954.653,33.64,23.523,52.481,33.607,8.761,42.319,44.496,83.361,0.643,0.254,1.635,0.71,11.499,2.109,7.568,0.6,0.918,3.159,4.811,0,2.8394,6.5398,4.6001,0.065748,955,62.78934
"7",0.605,23.488,0.125,4.847,0.26,0.176,1525.072,64.028,0.518,0.125,88.755,0.161,814.276,0.173,0.883,0.299,0.157,3.79,0.747,0.354,0.949,0.016,0.016,830.264,6.853,26.782,78.393,34.312,0.257,33.974,35.639,35.342,0.729,0.169,1.125,0.018,55.007,1.15,59.004,0.929,0.289,14.005,4.441,0,1.8752,2.7574,2.3869,0.034984,831,29.071704
"8",0.619,19.479,0.066,1.081,0.391,2.878,891.706,76.493,0.827,0.043,70.444,0.31,897.489,0.265,1.203,0.302,0.201,3.289,1.466,2.041,0.728,0.09,0.09,994.194,16.622,12.565,100.903,17.117,12.459,35.568,0.581,12.059,0.902,0.672,1.294,0.31,26.421,4.886,45.509,0.522,0.735,6.858,3.922,0,3.164,4.7743,2.2818,0.0088162,995,8.772119
"9",0.656,26.742,0.346,3.135,0.51,1.048,1507.375,75.883,0.739,0.464,10.987,0.595,685.874,0.226,1.639,0.333,0.157,2.037,5.957,2.105,0.262,0.016,0.016,817.678,11.508,8.766,109.345,6.255,21.705,21.973,24.957,49.534,0.207,0.253,1.107,0.345,56.39,3.417,22.8,0.486,0.541,2.573,0.127,0.001,3.4731,5.0244,3.7291,0.11202,818,91.63236
"10",0.672,28.409,0.148,1.959,0.82,0.466,4990.616,72.185,0.453,0.186,86.692,0.191,519.124,0.206,1.721,0.362,0.138,3.009,4.304,2.061,0.406,0.021,0.021,759.688,6.741,27.54,94.442,8.237,20.256,11.356,43.475,13.284,0.983,0.118,1.593,0.806,2.269,0.798,71.608,0.17,0.092,3.75,8.795,0,3.0952,3.5647,2.607,0.014047,760,10.67572
