"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","CN_f","uslec_c","uslec_f","MNGN","depth","COVMAX","HTMAX","holdup","bd1","bd2","bd3","bd4","fc","WP","OC","dep","app_rate","app_eff","PLDKRT","DWRATE","DSRATE","koc","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf"
"1",0.604,34.504,0.517,0.868,0.237,3.368,1259.232,63.368,82.745,0.95,0.687,0.47,94.482,0.24,775.768,0.218,0.985,1.432,0.929,1.585,1.581,0.28,0.148,3.743,4.445,0.713,0.442,0.539,0.539,0.036,749.739,22.526,5.531,45.815,26.886,17.015,25.253,20.956,78.25,0.828,0.584,1.572,0.879,45.367,1.438,70.275,0.919,0.869,12.166,0.795
"2",0.678,34.098,0.271,4.159,0.181,3.419,3111.101,74.259,87.686,0.564,0.807,0.051,11.789,0.059,598.527,0.3,1.227,1.046,1.586,0.943,1.231,0.292,0.105,1.31,5.182,2.889,0.128,0.186,0.186,0.021,826.354,12.631,33.971,141.347,15.75,12.233,21.64,46.919,81.246,0.787,0.194,1.712,0.572,49.844,2.299,14.415,1.322,0.929,13.932,1.175
"3",0.763,18.176,0.574,0.243,0.12,4.632,648.015,66.975,82.279,0.126,0.231,0.466,22.091,0.922,506.287,0.192,1.262,0.866,1.46,1.108,0.967,0.406,0.105,3.637,3.061,2.766,0.213,0.233,0.233,0.034,831.486,8.785,18.936,8.704,12.716,2.407,13.691,3.294,70.564,0.514,0.196,1.397,0.786,38.644,1.857,0.444,1.377,0.198,7.873,4.705
"4",0.623,11.432,0.581,3.009,0.276,0.501,3447.253,82.514,82.403,0.43,0.947,0.206,8.625,0.709,511.428,0.153,1.744,1.378,0.886,1.723,1.572,0.38,0.071,1.208,2.915,2.75,0.68,0.349,0.349,0.096,962.403,34.381,28.659,84.72,29.475,8.047,31.679,12.253,42.624,0.158,0.133,1.483,0.834,13.01,4.114,43.613,0.511,0.512,8.33,1.042
"5",0.798,14.234,0.368,0.769,0.427,3.984,4116.793,89.756,84.169,0.506,0.72,0.048,77.56,0.964,559.175,0.261,1.176,1.637,1.029,1.727,1.211,0.345,0.148,1.161,4.3,1.565,0.282,0.291,0.291,0.051,891.177,24.799,11.56,102.35,18.863,13.601,7.177,45.347,57.303,0.983,0.234,0.928,0.812,2.287,2.559,57.534,0.911,0.272,2.783,1.946
"6",0.652,23.203,0.312,3.366,0.958,2.606,405.517,66.645,85.865,0.933,0.697,0.072,26.578,0.655,809.722,0.259,1.116,1.186,1.694,1.304,1.696,0.296,0.148,3.548,5.733,1.891,0.391,0.634,0.634,0.094,955.887,32.78,24.17,36.832,30.821,17.884,12.664,21.148,8.603,0.406,0.742,1.045,0.481,9.033,3.984,60.672,0.143,0.628,12.424,6.823
"7",0.605,23.489,0.125,4.847,0.26,0.177,1524.874,64.025,85.103,0.258,0.632,0.081,110.207,0.366,510.031,0.154,1.367,1.713,0.959,0.939,1.719,0.262,0.159,2.307,0.464,2.206,0.55,0.647,0.647,0.075,884.927,16.76,26.793,19.287,13.847,0.291,41.668,11.571,66.394,0.623,0.297,1.7,0.445,21.236,1.679,22.414,0.495,0.665,5.703,9.242
"8",0.619,19.477,0.066,1.082,0.391,2.878,890.871,76.492,86.959,0.081,0.5,0.15,139.114,0.823,652.488,0.158,1.577,1.6,1.068,1.462,1.495,0.409,0.139,3.942,2.385,0.831,0.688,0.326,0.326,0.079,603.846,8.993,32.033,123.418,19.456,7.718,22.615,48.855,51.236,0.354,0.613,1.268,0.394,4.291,1.339,75.001,1.362,0.102,5.456,7.198
"9",0.656,26.741,0.345,3.135,0.51,1.047,1507.12,75.883,86.435,0.986,0.073,0.282,65.58,0.629,846.472,0.193,1.365,1.317,1.753,1.482,1.024,0.262,0.062,2.181,1.379,0.464,0.741,0.123,0.123,0.048,799.219,21.496,10.974,36.641,13.234,8.609,42.596,34.192,25.712,0.33,0.476,1.009,0.022,41.005,2.547,46.773,0.094,0.4,8.63,4.78
"10",0.672,28.406,0.148,1.958,0.82,0.466,4990.467,72.188,84.714,0.389,0.617,0.094,7.671,0.532,882.807,0.224,1.275,1.537,1.501,1.468,1.17,0.273,0.111,1.603,0.442,2.279,0.649,0.16,0.16,0.024,947.685,9.402,34.498,8.739,29.422,20.309,6.511,8.062,80.572,0.121,0.158,1.08,0.872,0.934,3.105,18.929,1.297,0.603,4.003,3.612
"11",0.603,14.372,0.123,3.117,0.725,1.779,2091.586,81.168,83.894,0.407,0.335,0.415,84.401,0.811,557.499,0.241,1.457,1.286,0.952,1.024,1.558,0.363,0.196,1.334,5.451,1.514,0.196,0.258,0.258,0.037,797.289,21.994,34.342,79.538,15.49,14.501,30.672,29.427,27.06,0.22,0.125,1.342,0.246,1.341,0.663,44.562,0.79,0.38,0.86,1.639
"12",0.681,16.011,0.198,4.775,0.449,0.278,255.726,74.413,82.262,0.332,0.534,0.319,9.197,0.425,670.71,0.163,1.585,1.664,1.098,0.933,1.083,0.416,0.14,0.382,2.754,1.803,0.224,0.415,0.415,0.057,887.459,25.174,27.572,141.24,22.966,13.05,27.124,33.753,9.661,0.377,0.583,1.352,0.384,21.07,1.087,14.564,0.294,0.578,6.896,4.429
"13",0.604,10.334,0.419,2.87,0.824,4.545,4690.652,63.431,87.754,0.923,0.013,0.125,70.434,0.508,595.768,0.184,1.573,1.571,1.161,1.736,1.688,0.262,0.156,2.722,0.348,1.236,0.645,0.515,0.515,0.05,974.622,34.35,19.334,128.996,5.168,17.549,25.363,7.48,67.466,0.659,0.732,1.254,0.751,45.189,3.78,60.888,0.026,0.89,1.862,4.403
"14",0.775,32.429,0.389,2.575,0.233,3.204,309.379,87.227,84.027,0.518,0.526,0.138,20.94,0.037,540.573,0.193,1.267,1.041,0.865,1.465,0.986,0.321,0.073,2.659,0.238,1.348,0.659,0.553,0.553,0.033,795.695,21.144,24.617,42.195,8.678,16.166,33.318,45.882,10.518,0.017,0.169,1.284,0.025,22.312,4.05,59.855,0.043,0.887,1.237,8.423
"15",0.613,23.504,0.134,2.604,0.737,0.974,2598.481,72.073,84.24,0.301,0.909,0.082,118.15,0.097,544.516,0.198,1.021,1.219,1.145,1.099,1.079,0.301,0.231,0.688,2.606,2.443,0.155,0.296,0.296,0.019,814.579,17.645,6.301,53.434,32.177,3.459,40.817,27.995,55.593,0.109,0.164,1.351,0.695,15.294,2.264,41.276,0.685,0.454,9.028,6.484
"16",0.765,11.926,0.183,2.077,0.801,2.056,1665.492,70.951,86.521,0.903,0.704,0.41,53.108,0.731,754.203,0.279,1.004,0.883,1.185,1.74,1.515,0.386,0.215,1.565,4.523,1.58,0.915,0.499,0.499,0.085,623.678,17.625,14.43,70.019,6.909,17.909,38.637,45.196,76.295,0.082,0.533,1.705,0.07,19.601,1.927,36.034,0.756,0.871,11.128,4.715
"17",0.621,26.095,0.543,0.225,0.321,1.173,778.841,86.378,83.06,0.636,0.316,0.397,2.172,0.95,876.8,0.148,1.237,1.605,1.443,1.288,0.979,0.421,0.111,3.826,1.819,2.298,0.6,0.345,0.345,0.074,606.792,18.03,5.036,22.378,9.324,13.588,41.821,5.209,85.133,0.015,0.634,0.987,0.456,42.357,1.726,32.889,0.339,0.547,14.527,0.628
