"","YYYY.1","MM.1","DD.1","RUNF0.1","ESLS0.1","RFLX1.1","EFLX1.1","DCON1.1","INFL0.1","YYYY.2","MM.2","DD.2","RUNF0.2","ESLS0.2","RFLX1.2","EFLX1.2","DCON1.2","INFL0.2","YYYY.3","MM.3","DD.3","RUNF0.3","ESLS0.3","RFLX1.3","EFLX1.3","DCON1.3","INFL0.3","YYYY.4","MM.4","DD.4","RUNF0.4","ESLS0.4","RFLX1.4","EFLX1.4","DCON1.4","INFL0.4","YYYY.5","MM.5","DD.5","RUNF0.5","ESLS0.5","RFLX1.5","EFLX1.5","DCON1.5","INFL0.5","YYYY.6","MM.6","DD.6","RUNF0.6","ESLS0.6","RFLX1.6","EFLX1.6","DCON1.6","INFL0.6","YYYY.7","MM.7","DD.7","RUNF0.7","ESLS0.7","RFLX1.7","EFLX1.7","DCON1.7","INFL0.7","YYYY.8","MM.8","DD.8","RUNF0.8","ESLS0.8","RFLX1.8","EFLX1.8","DCON1.8","INFL0.8"
"1",1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0,1999,1,1,0,0,0,0,0,0
"2",1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0,1999,1,2,0,0,0,0,0,0
"3",1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0,1999,1,3,0,0,0,0,0,0
"4",1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0,1999,1,4,0,0,0,0,0,0
"5",1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0,1999,1,5,0,0,0,0,0,0
"6",1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0,1999,1,6,0,0,0,0,0,0
"7",1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0,1999,1,7,0,0,0,0,0,0
"8",1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0,1999,1,8,0,0,0,0,0,0
"9",1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0,1999,1,9,0,0,0,0,0,0
"10",1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0,1999,1,10,0,0,0,0,0,0
"11",1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0,1999,1,11,0,0,0,0,0,0
"12",1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0,1999,1,12,0,0,0,0,0,0
"13",1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0,1999,1,13,0,0,0,0,0,0
"14",1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0,1999,1,14,0,0,0,0,0,0
"15",1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0,1999,1,15,0,0,0,0,0,0
"16",1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0,1999,1,16,0,0,0,0,0,0
"17",1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0,1999,1,17,0,0,0,0,0,0
"18",1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0,1999,1,18,0,0,0,0,0,0
"19",1999,1,19,0.070771,0.60834,0,0,0,0,1999,1,19,0.069283,3.6902,0,0,0,0,1999,1,19,0.085767,18.441,0,0,0,0,1999,1,19,0.084415,0.43302,0,0,0,0,1999,1,19,0.051313,28.47,0,0,0,0,1999,1,19,0.087657,1.9915,0,0,0,0,1999,1,19,0.033596,0.71759,0,0,0,0,1999,1,19,0.029279,6.1983,0,0,0,0
"20",1999,1,20,0.0018814,0.0054136,0,0,0,0,1999,1,20,0.015131,0.50897,0,0,0,0,1999,1,20,0.0044866,0.39426,0,0,0,0,1999,1,20,0.011912,0.033748,0,0,0,0,1999,1,20,0.0071397,2.1691,0,0,0,0,1999,1,20,0.043624,0.79745,0,0,0,0,1999,1,20,0.00088837,0.0063241,0,0,0,0,1999,1,20,0,0,0,0,0,0
"21",1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0,1999,1,21,0,0,0,0,0,0
"22",1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0,1999,1,22,0,0,0,0,0,0
"23",1999,1,23,0,0,0,0,0,0,1999,1,23,0.003701,0.08151,0,0,0,0,1999,1,23,2.125e-05,0.00037376,0,0,0,0,1999,1,23,0.0019988,0.0033085,0,0,0,0,1999,1,23,0.00035146,0.043127,0,0,0,0,1999,1,23,0.019408,0.27756,0,0,0,0,1999,1,23,0,0,0,0,0,0,1999,1,23,0,0,0,0,0,0
"24",1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0,1999,1,24,0,0,0,0,0,0
"25",1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0,1999,1,25,0,0,0,0,0,0
"26",1999,1,26,0,0,0,0,0,0.031856,1999,1,26,0.0001231,0.00097542,0,0,0,0,1999,1,26,0,0,0,0,0,0,1999,1,26,0,0,0,0,0,0,1999,1,26,0,0,0,0,0,0,1999,1,26,0.0081294,0.089285,0,0,0,0,1999,1,26,0,0,0,0,0,0,1999,1,26,0,0,0,0,0,0
"27",1999,1,27,0,0,0,0,0,0.031856,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0,1999,1,27,0,0,0,0,0,0
"28",1999,1,28,0,0,0,0,0,0.031856,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0,1999,1,28,0,0,0,0,0,0
"29",1999,1,29,0,0,0,0,0,0.031856,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0,1999,1,29,0,0,0,0,0,0
"30",1999,1,30,0,0,0,0,0,0.031856,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0,1999,1,30,0,0,0,0,0,0
"31",1999,1,31,0,0,0,0,0,0.031856,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0,1999,1,31,0,0,0,0,0,0
"32",1999,2,1,0,0,0,0,0,0.031856,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0,1999,2,1,0,0,0,0,0,0
"33",1999,2,2,0,0,0,0,0,0.031856,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0,1999,2,2,0,0,0,0,0,0
"34",1999,2,3,0,0,0,0,0,0.031856,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0,1999,2,3,0,0,0,0,0,0
"35",1999,2,4,0,0,0,0,0,0.031856,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0,1999,2,4,0,0,0,0,0,0
"36",1999,2,5,0,0,0,0,0,0.031856,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0,1999,2,5,0,0,0,0,0,0
"37",1999,2,6,0,0,0,0,0,0.031856,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0,1999,2,6,0,0,0,0,0,0
"38",1999,2,7,0.0088354,0.040503,0,0,0,0.77359,1999,2,7,0.020403,0.75134,0,0,0,0,1999,2,7,0.0068921,0.69065,0,0,0,0,1999,2,7,0.012905,0.037514,0,0,0,0,1999,2,7,0.0056775,1.6148,0,0,0,0,1999,2,7,0.044953,0.83095,0,0,0,0,1999,2,7,0.0025031,0.024371,0,0,0,0,1999,2,7,0,0,0,0,0,0
"39",1999,2,8,0.29959,4.1838,0,0,0,2.3572,1999,2,8,0.41767,40.288,0,0,0,0,1999,2,8,0.33283,116.26,0,0,0,0,1999,2,8,0.39592,3.5097,0,0,0,0,1999,2,8,0.35848,405.44,0,0,0,0,1999,2,8,0.56225,27.629,0,0,0,0,1999,2,8,0.28119,11.991,0,0,0,0,1999,2,8,0.19524,75.649,0,0,0,0
"40",1999,2,9,0.091383,0.84879,0,0,0,3.5378,1999,2,9,0.15519,10.691,0,0,0,0,1999,2,9,0.10861,25.098,0,0,0,0.036126,1999,2,9,0.14292,0.87479,0,0,0,0,1999,2,9,0.12232,88.997,0,0,0,0,1999,2,9,0.24148,7.858,0,0,0,0,1999,2,9,0.082138,2.2968,0,0,0,0,1999,2,9,0.04234,10.031,0,0,0,0
"41",1999,2,10,0,0,0,0,0,3.5378,1999,2,10,0,0,0,0,0,0,1999,2,10,0,0,0,0,0,0.036126,1999,2,10,0,0,0,0,0,0,1999,2,10,0,0,0,0,0,0,1999,2,10,0,0,0,0,0,0,1999,2,10,0,0,0,0,0,0,1999,2,10,0,0,0,0,0,0
"42",1999,2,11,0,0,0,0,0,3.5378,1999,2,11,0,0,0,0,0,0,1999,2,11,0,0,0,0,0,0.036126,1999,2,11,0,0,0,0,0,0,1999,2,11,0,0,0,0,0,0,1999,2,11,0,0,0,0,0,0,1999,2,11,0,0,0,0,0,0,1999,2,11,0,0,0,0,0,0
"43",1999,2,12,0,0,0,0,0,3.5378,1999,2,12,0,0,0,0,0,0,1999,2,12,0,0,0,0,0,0.036126,1999,2,12,0,0,0,0,0,0,1999,2,12,0,0,0,0,0,0,1999,2,12,0,0,0,0,0,0,1999,2,12,0,0,0,0,0,0,1999,2,12,0,0,0,0,0,0
"44",1999,2,13,0,0,0,0,0,3.5378,1999,2,13,0,0,0,0,0,0,1999,2,13,0,0,0,0,0,0.036126,1999,2,13,0,0,0,0,0,0,1999,2,13,0,0,0,0,0,0,1999,2,13,0,0,0,0,0,0,1999,2,13,0,0,0,0,0,0,1999,2,13,0,0,0,0,0,0
"45",1999,2,14,0,0,0,0,0,3.5378,1999,2,14,0,0,0,0,0,0,1999,2,14,0,0,0,0,0,0.036126,1999,2,14,0,0,0,0,0,0,1999,2,14,0,0,0,0,0,0,1999,2,14,0,0,0,0,0,0,1999,2,14,0,0,0,0,0,0,1999,2,14,0,0,0,0,0,0
"46",1999,2,15,0,0,0,0,0,3.5378,1999,2,15,0,0,0,0,0,0,1999,2,15,0,0,0,0,0,0.036126,1999,2,15,0,0,0,0,0,0,1999,2,15,0,0,0,0,0,0,1999,2,15,0,0,0,0,0,0,1999,2,15,0,0,0,0,0,0,1999,2,15,0,0,0,0,0,0
"47",1999,2,16,0,0,0,0,0,3.5378,1999,2,16,0,0,0,0,0,0,1999,2,16,0,0,0,0,0,0.036126,1999,2,16,0,0,0,0,0,0,1999,2,16,0,0,0,0,0,0,1999,2,16,0,0,0,0,0,0,1999,2,16,0,0,0,0,0,0,1999,2,16,0,0,0,0,0,0
"48",1999,2,17,0,0,0,0,5.7059e-75,3.6793,1999,2,17,0,0,0,0,0,0,1999,2,17,0,0,0,0,0,0.036126,1999,2,17,0,0,0,0,0,0,1999,2,17,0,0,0,0,0,0,1999,2,17,0,0,0,0,0,0,1999,2,17,0,0,0,0,0,0,1999,2,17,0,0,0,0,0,0
"49",1999,2,18,0,0,0,0,5.5734e-38,4.2269,1999,2,18,5.389e-05,0.00033328,1.7388e-12,5.0641e-14,1.2437e-47,0,1999,2,18,0,0,0,0,1.0665e-42,0.49323,1999,2,18,0,0,0,0,9.699e-48,0,1999,2,18,0,0,0,0,6.795e-46,0,1999,2,18,0.0067986,0.07077,3.7743e-10,5.8692e-12,2.5824e-43,0,1999,2,18,0,0,0,0,2.3351e-40,0,1999,2,18,0,0,0,0,1.7527e-39,0
"50",1999,2,19,0,0,0,0,5.2488e-38,4.2269,1999,2,19,0,0,0,0,1.1344e-47,0,1999,2,19,0,0,0,0,1.0145e-42,0.49323,1999,2,19,0,0,0,0,9.0071e-48,0,1999,2,19,0,0,0,0,6.5548e-46,0,1999,2,19,0,0,0,0,2.5541e-43,0,1999,2,19,0,0,0,0,2.1469e-40,0,1999,2,19,0,0,0,0,1.7163e-39,0
