sample_date,site_id,result,detect,before_after,watershed
13-Feb-2009,PGC010,0.2030,1,before,PGC
07-Apr-2009,PGC010,0.0985,1,before,PGC
13-Apr-2009,PGC010,0.0257,1,before,PGC
01-May-2009,PGC010,0.0203,1,before,PGC
28-Aug-2009,FOL002,0.0168,1,before,FOL
28-Aug-2009,PGC010,0.0168,1,before,PGC
12-Oct-2009,FOL002,0.0010,0,before,FOL
12-Oct-2009,PGC010,0.0141,1,before,PGC
13-Oct-2009,FOL002,0.0221,1,before,FOL
13-Oct-2009,PGC010,0.0332,1,before,PGC
04-Apr-2010,FOL002,0.0394,1,before,FOL
04-Apr-2010,PGC010,0.0405,1,before,PGC
19-Jul-2010,PGC010,0.0343,1,before,PGC
24-Oct-2010,PGC010,0.0317,1,before,PGC
16-Feb-2011,PGC010,0.0640,1,before,PGC
15-May-2011,PGC010,0.0648,1,before,PGC
27-Jun-2011,PGC010,0.0197,1,before,PGC
01-Aug-2011,PGC010,0.0276,1,before,PGC
01-Aug-2011,PGC022,0.0245,1,before,PGC
02-Aug-2011,FOL002,0.0738,1,before,FOL
02-Aug-2011,FOL003,0.0244,1,before,FOL
05-Oct-2011,FOL002,0.0194,1,before,FOL
05-Oct-2011,FOL003,0.0099,1,before,FOL
05-Oct-2011,PGC010,0.0541,1,before,PGC
05-Oct-2011,PGC022,0.0675,1,before,PGC
20-Jan-2012,FOL002,0.0486,1,before,FOL
20-Jan-2012,FOL003,0.0129,1,before,FOL
20-Jan-2012,PGC010,0.0525,1,before,PGC
20-Jan-2012,PGC022,0.0334,1,before,PGC
19-Jun-2012,FOL002,0.0070,1,before,FOL
19-Jun-2012,FOL003,0.0141,1,before,FOL
19-Jun-2012,PGC010,0.0354,1,before,PGC
19-Jun-2012,PGC022,0.0148,1,before,PGC
31-Jul-2012,FOL002,0.0137,1,before,FOL
31-Jul-2012,FOL003,0.0025,1,before,FOL
05-Sep-2012,FOL002,0.0033,1,before,FOL
05-Sep-2012,FOL003,0.0042,1,before,FOL
22-Oct-2012,FOL002,0.0149,1,before,FOL
22-Oct-2012,FOL003,0.0130,1,before,FOL
19-Feb-2013,FOL002,0.0598,1,after,FOL
19-Feb-2013,FOL003,0.0172,1,after,FOL
19-Feb-2013,PGC010,0.1410,1,after,PGC
19-Feb-2013,PGC022,0.0499,1,after,PGC
30-Apr-2013,PGC010,0.0190,1,after,PGC
30-Apr-2013,PGC022,0.0099,1,after,PGC
01-May-2013,FOL002,0.0019,1,after,FOL
01-May-2013,FOL003,0.0117,1,after,FOL
04-Jun-2013,FOL002,0.0039,1,after,FOL
04-Jun-2013,FOL003,0.0068,1,after,FOL
04-Jun-2013,PGC010,0.0116,1,after,PGC
04-Jun-2013,PGC022,0.0090,1,after,PGC
09-Jul-2013,FOL002,0.0040,1,after,FOL
09-Jul-2013,FOL003,0.0070,1,after,FOL
06-Aug-2013,FOL002,0.0364,1,after,FOL
06-Aug-2013,FOL003,0.0021,1,after,FOL
06-Aug-2013,PGC010,0.0087,1,after,PGC
06-Aug-2013,PGC022,0.0096,1,after,PGC
19-Nov-2013,FOL002,0.0816,1,after,FOL
19-Nov-2013,FOL003,0.0627,1,after,FOL
19-Nov-2013,PGC010,0.0327,1,after,PGC
19-Nov-2013,PGC022,0.0367,1,after,PGC
26-Feb-2014,FOL002,0.0253,1,after,FOL
26-Feb-2014,FOL003,0.0386,1,after,FOL
26-Feb-2014,PGC010,0.0261,1,after,PGC
26-Feb-2014,PGC022,0.0273,1,after,PGC
17-Mar-2014,PGC010,0.0055,1,after,PGC
17-Mar-2014,PGC022,0.0280,1,after,PGC
07-May-2014,FOL002,0.0032,1,after,FOL
07-May-2014,FOL003,0.0010,0,after,FOL
02-Jun-2014,PGC010,0.0060,1,after,PGC
02-Jun-2014,PGC022,0.1800,1,after,PGC
04-Jun-2014,FOL002,0.0010,0,after,FOL
04-Jun-2014,FOL003,0.0109,1,after,FOL
09-Jul-2014,FOL002,0.0243,1,after,FOL
09-Jul-2014,FOL003,0.0147,1,after,FOL
06-Aug-2014,PGC010,0.0183,1,after,PGC
06-Aug-2014,PGC022,0.0129,1,after,PGC
31-Oct-2014,PGC010,0.0538,1,after,PGC
31-Oct-2014,PGC022,0.1580,1,after,PGC
,,,,,
