Sample Date,Sample Matrix,Collection Method,Sampler,Event Type,Site ID,Analyte Name,Result,rl,mdl,Unit,Chem Lab,TOC_perc,moisture_perc
13-Apr-2009,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC010,Bifenthrin,679.7566,1.00,0.108,ug/kg dry wt,CDFA,6.06,59.69
13-Apr-2009,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC022,Bifenthrin,267.9377,1.00,0.108,ug/kg dry wt,CDFA,7.09,63.09
12-Oct-2009,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,138.1408,1.00,0.108,ug/kg dry wt,CDFA,5.21,55.05
12-Oct-2009,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC010,Bifenthrin,123.315,1.00,0.108,ug/kg dry wt,CDFA,3.15,42.50
20-Jul-2010,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC010,Bifenthrin,99.777,1.00,0.108,ug/kg dry wt,CDFA,3.96,10.90
20-Sep-2011,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,465.0575,1.00,0.108,ug/kg dry wt,CDFA,11.17,75.49
20-Sep-2011,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,427.0414,1.00,0.108,ug/kg dry wt,CDFA,6.29,49.19
25-Oct-2011,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,248.7581,1.00,0.108,ug/kg dry wt,CDFA,8.05,68.24
25-Oct-2011,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,263.3008,1.00,0.108,ug/kg dry wt,CDFA,10.51,65.10
27-Jun-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,220.4579,17.61,0.063,ug/kg dry wt,CDFW,4.76,48.30
27-Jun-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,96.5491,3.73,0.063,ug/kg dry wt,CDFW,3.58,32.90
05-Sep-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,310.8923,6.91,0.063,ug/kg dry wt,CDFW,6.16,63.80
05-Sep-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,345.1066,6.79,0.063,ug/kg dry wt,CDFW,8.17,63.20
26-Oct-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,202.4171,5.23,0.063,ug/kg dry wt,CDFW,5.55,52.20
26-Oct-2012,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,162.3918,5.18,0.063,ug/kg dry wt,CDFW,5.12,51.70
21-Feb-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,44.65,2.70,0.063,ug/kg dry wt,CDFW,5.82,54.50
21-Feb-2013,Sediment,Sediment grab sample,Sediment trap,Nonstorm,FOL003,Bifenthrin,276.2411,11.43,0.063,ug/kg dry wt,CDFW,5.72,57.30
25-Feb-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC010,Bifenthrin,550.4209,10.01,0.063,ug/kg dry wt,CDFW,3.82,50.90
04-Jun-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL002,Bifenthrin,268.639,0.95,0.063,ug/kg dry wt,CDFW,13.36,74.11
04-Jun-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,FOL003,Bifenthrin,168.4181,0.52,0.063,ug/kg dry wt,CDFW,5.08,52.01
05-Jun-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC010,Bifenthrin,934.6887,52.97,0.063,ug/kg dry wt,CDFW,12.39,77.65
05-Jun-2013,Sediment,Sediment grab sample,Scoop,Nonstorm,PGC022,Bifenthrin,80.4431,0.46,0.063,ug/kg dry wt,CDFW,2.78,50.74
